	chunks	max	min	sd	sttr_100
GO_ESSAY_018	15.0	0.75	0.64	0.0279682359512	0.693333333333
GO_ESSAY_019	5.0	0.76	0.68	0.0300665927567	0.716
GO_ESSAY_020	10.0	0.78	0.66	0.041665333312	0.712
GO_ESSAY_021	15.0	0.72	0.56	0.0414514441512	0.668666666667
GO_ESSAY_022	15.0	0.78	0.63	0.0439191175787	0.703333333333
GO_ESSAY_023	18.0	0.83	0.67	0.0384779879354	0.745
GO_FICTION_001	31.0	0.8	0.59	0.0418435717323	0.696774193548
GO_FICTION_002	31.0	0.75	0.6	0.0382472377652	0.671290322581
GO_FICTION_003	31.0	0.78	0.61	0.0388331364558	0.701290322581
GO_FICTION_004	31.0	0.81	0.68	0.0283907622267	0.73935483871
GO_FICTION_005	29.0	0.82	0.59	0.0490189121211	0.726206896552
GO_FICTION_006	31.0	0.78	0.64	0.0351923508859	0.712580645161
GO_FICTION_007	27.0	0.79	0.6	0.0442247657312	0.691851851852
GO_FICTION_008	30.0	0.77	0.52	0.0560168625406	0.652333333333
GO_FICTION_009	30.0	0.79	0.63	0.0432935715012	0.713
GO_FICTION_010	30.0	0.79	0.57	0.0434728523206	0.699666666667
GO_FORUM_001	36.0	0.78	0.63	0.0355512150128	0.711666666667
GO_FORUM_002	32.0	0.78	0.61	0.0375715463316	0.6940625
GO_FORUM_003	42.0	0.77	0.47	0.0531651259027	0.691428571429
GO_FORUM_004	31.0	0.82	0.56	0.0502066489248	0.732258064516
GO_FORUM_005	28.0	0.79	0.64	0.0380168464269	0.726071428571
GO_FORUM_006	34.0	0.81	0.66	0.0412268599246	0.729411764706
GO_FORUM_007	30.0	0.75	0.57	0.0470696882883	0.673333333333
GO_FORUM_008	35.0	0.78	0.54	0.0479336275809	0.673714285714
GO_FORUM_009	29.0	0.78	0.59	0.0517057438558	0.677586206897
GO_FORUM_010	31.0	0.83	0.51	0.0665986472287	0.679677419355
GO_INSTR_001	12.0	0.71	0.55	0.0527309733985	0.641666666667
GO_INSTR_002	18.0	0.77	0.53	0.0654448217307	0.639444444444
